nom,coordonnees,num_insee
Cressin-Rochefort,Point(5.763333333 45.785833333),1133
Crottet,Point(4.892222222 46.277222222),1134
Crozet,Point(6.0125 46.280555555),1135
Cruzilles-lès-Mépillat,Point(4.880555555 46.224722222),1136
Culoz,Point(5.781666666 45.848611111),1138
Curciat-Dongalon,Point(5.1575 46.475),1139
Curtafond,Point(5.088611111 46.2725),1140
Cuzieu,Point(5.674444444 45.819166666),1141
Dagneux,Point(5.068055555 45.851666666),1142
Divonne-les-Bains,Point(6.142777777 46.356666666),1143
Dompierre-sur-Veyle,Point(5.204722222 46.071111111),1145
Dompierre-sur-Chalaronne,Point(4.904444444 46.143333333),1146
Domsure,Point(5.295 46.419166666),1147
Dortan,Point(5.659166666 46.318888888),1148
Douvres,Point(5.373055555 45.988888888),1149
Drom,Point(5.368611111 46.2175),1150
Druillat,Point(5.317222222 46.06),1151
Échallon,Point(5.741388888 46.21),1152
Échenevex,Point(6.036111111 46.308888888),1153
Évosges,Point(5.498055555 45.960833333),1155
Faramans,Point(5.125555555 45.901944444),1156
Fareins,Point(4.761666666 46.019444444),1157
Farges,Point(5.905277777 46.167777777),1158
Feillens,Point(4.891111111 46.335833333),1159
Ferney-Voltaire,Point(6.108055555 46.255833333),1160
Fitignieu,Point(5.664577 45.929059),1161
Flaxieu,Point(5.735277777 45.808333333),1162
Foissiat,Point(5.174722222 46.370277777),1163
Forens,Point(5.8582 46.21479),1164
Francheleins,Point(4.808611111 46.073611111),1165
Frans,Point(4.773888888 45.991388888),1166
Garnerans,Point(4.841111111 46.205833333),1167
Genay (Métropole de Lyon),Point(4.840833333 45.896944444),1168
Genouilleux,Point(4.786944444 46.118888888),1169
Béard-Géovreissiat,Point(5.556944444 46.189722222),1170
Géovreisset,Point(5.617777777 46.256111111),1171
Gex,Point(6.057777777 46.333333333),1173
Giron,Point(5.774166666 46.225555555),1174
Gorrevod,Point(4.941111111 46.415833333),1175
Grand-Corent,Point(5.430833333 46.199166666),1177
Granges,Point(5.49831 46.23881),1178
Grièges,Point(4.850277777 46.254722222),1179
Grilly,Point(6.115 46.330555555),1180
Groissiat,Point(5.6125 46.229166666),1181
Guéreins,Point(4.779722222 46.108055555),1183
Hautecourt-Romanèche,Point(5.4175 46.159722222),1184
Hautecourt,Point(5.4175 46.159694444),1184
Hauteville,Point(5.6005 45.977),1185
Plateau d'Hauteville,Point(5.6053 45.9792),1185
Haut Valromey,Point(5.695 45.9975),1187
Illiat,Point(4.888333333 46.190277777),1188
Injoux-Génissiat,Point(5.8025 46.051388888),1189
Injoux,Point(5.770403 46.0582459),1189
Innimond,Point(5.5725 45.782777777),1190
Izenave,Point(5.525 46.038055555),1191
Izernore,Point(5.553888888 46.220555555),1192
Izieu,Point(5.643611111 45.654722222),1193
Jassans-Riottier,Point(4.756666666 45.985555555),1194
Jasseron,Point(5.324444444 46.2125),1195
Jayat,Point(5.120833333 46.370555555),1196
Journans,Point(5.3325 46.144722222),1197
Joyeux,Point(5.099444444 45.961111111),1198
Jujurieux,Point(5.408888888 46.04),1199
Labalme,Point(5.483055555 46.093055555),1200
Lacoux,Point(5.5425 45.9677),1201
Lagnieu,Point(5.349166666 45.903611111),1202
Laiz,Point(4.888888888 46.248333333),1203
Le Poizat-Lalleyriat,Point(5.6961 46.145),1204
Lantenay,Point(5.541666666 46.0575),1206
Lapeyrouse,Point(4.976666666 45.983333333),1207
Lavours,Point(5.7725 45.809166666),1208
Léaz,Point(5.886666666 46.098055555),1209
Lélex,Point(5.942222222 46.303333333),1210
Lent,Point(5.195833333 46.119444444),1211
Lescheroux,Point(5.146388888 46.406666666),1212
Leyment,Point(5.295 45.923333333),1213
Leyssard,Point(5.475833333 46.155833333),1214
Surjoux-Lhopital,Point(5.7761 45.9683),1215
Lhuis,Point(5.533333333 45.746666666),1216
Lilignod,Point(5.68775 45.95422),1217
Lompnas,Point(5.520277777 45.803055555),1219
Lompnes,Point(5.6049 45.9838),1220
Longecombe,Point(5.5509 45.9496),1222
Loyes,Point(5.230203 45.928642),1223
Loyettes,Point(5.203055555 45.774166666),1224
Lurcy,Point(4.781111111 46.062777777),1225
Luthézieu,Point(5.6622568 45.9041749),1226
Magnieu,Point(5.7181 45.7767),1227
Maillat,Point(5.538055555 46.129166666),1228
Malafretaz,Point(5.146666666 46.324166666),1229
Mantenay-Montlin,Point(5.098333333 46.424444444),1230
Manziat,Point(4.907777777 46.359444444),1231
Marboz,Point(5.258333333 46.3425),1232
Marchamp,Point(5.548333333 45.778333333),1233
Marignieu,Point(5.721111111 45.796944444),1234
Marlieux,Point(5.072777777 46.064722222),1235
Marsonnas,Point(5.071111111 46.340833333),1236
Martignat,Point(5.608888888 46.209444444),1237
Massieux,Point(4.830277777 45.908611111),1238
Massignieu-de-Rives,Point(5.767222222 45.754166666),1239
Matafelon-Granges,Point(5.553888888 46.261111111),1240
Matafelon,Point(5.5545373 46.2618745),1240
Meillonnas,Point(5.351944444 46.245),1241
Mérignat,Point(5.436666666 46.069444444),1242
Messimy-sur-Saône,Point(4.764722222 46.048333333),1243
Meximieux,Point(5.194444444 45.904444444),1244
Bohas-Meyriat-Rignat,Point(5.391111111 46.136944444),1245
Meyriat,Point(5.3908 46.1368),1245
Mézériat,Point(5.047222222 46.234722222),1246
Mijoux,Point(5.995277777 46.366111111),1247
Mionnay,Point(4.929722222 45.895),1248
Miribel,Point(4.953055555 45.824444444),1249
Misérieux,Point(4.810833333 45.973333333),1250
Moëns,Point(6.0935 46.2617),1251
Mogneneins,Point(4.811666666 46.138333333),1252
Mollon,Point(5.245204 45.944504),1253
Montagnat,Point(5.284166666 46.170833333),1254
Montagnieu,Point(5.4675 45.793888888),1255
Montanay,Point(4.863055555 45.879166666),1256
Montanges,Point(5.801388888 46.164166666),1257
Montceaux,Point(4.797222222 46.096388888),1258
Montcet,Point(5.1125 46.2125),1259
Le Montellier,Point(5.073333333 45.930277777),1260
Monthieux,Point(4.940277777 45.957222222),1261
Montluel,Point(5.056388888 45.851666666),1262
Montmerle-sur-Saône,Point(4.758611111 46.081388888),1263
Montracol,Point(5.121944444 46.197222222),1264
Montréal-la-Cluse,Point(5.570833333 46.186666666),1265
Montrevel-en-Bresse,Point(5.128333333 46.336666666),1266
Nurieux-Volognat,Point(5.521944444 46.180277777),1267
Mornay,Point(5.517 46.1934),1267
Murs-et-Gélignieux,Point(5.661944444 45.641388888),1268
Nantua,Point(5.606111111 46.153333333),1269
Napt,Point(5.4967 46.2057),1270
Neuville-les-Dames,Point(5.003611111 46.162222222),1272
Neuville-sur-Ain,Point(5.372222222 46.0825),1273
Les Neyrolles,Point(5.633611111 46.141666666),1274
Neyron,Point(4.932222222 45.814722222),1275
Niévroz,Point(5.063888888 45.826388888),1276
Nivollet-Montgriffon,Point(5.446388888 45.993055555),1277
Ochiaz,Point(5.779075 46.1070559),1278
Oncieu,Point(5.473333333 45.959166666),1279
Ordonnaz,Point(5.538333333 45.837222222),1280
Ornex,Point(6.093333333 46.276111111),1281
Outriaz,Point(5.546944444 46.067222222),1282
Oyonnax,Point(5.655 46.255555555),1283
Ozan,Point(4.915555555 46.391666666),1284
Parcieux,Point(4.825277777 45.915555555),1285
Parves et Nattages,Point(5.7422 45.7439),1286
Passin,Point(5.6877 45.9293),1287
Péron,Point(5.926388888 46.19),1288
Péronnas,Point(5.202777777 46.178611111),1289
Pérouges,Point(5.179444444 45.903333333),1290
Perrex,Point(4.978055555 46.245555555),1291
Peyriat,Point(5.510277777 46.154166666),1293
Peyrieu,Point(5.6775 45.676666666),1294
Peyzieux-sur-Saône,Point(4.815277777 46.127222222),1295
Pirajoux,Point(5.299166666 46.371388888),1296
Pizay,Point(5.089444444 45.888611111),1297
Plagne,Point(5.728333333 46.191944444),1298
Le Plantay,Point(5.088888888 46.023055555),1299
Polliat,Point(5.125833333 46.248888888),1301
Pollieu,Point(5.741666666 45.799722222),1302
Poncin,Point(5.406666666 46.085),1303
Pont-d'Ain,Point(5.336388888 46.048333333),1304
Pont-de-Vaux,Point(4.938055555 46.431944444),1305
Pont-de-Veyle,Point(4.887777777 46.263333333),1306
Port,Point(5.570277777 46.164444444),1307
Pougny,Point(5.949444444 46.139722222),1308
Pouillat,Point(5.428333333 46.327222222),1309
Prémeyzel,Point(5.648055555 45.683888888),1310
Prémillieu,Point(5.571388888 45.874166666),1311
Prévessin-Moëns,Point(6.081944444 46.255555555),1313
Prévessin,Point(6.0817546 46.2533757),1313
Priay,Point(5.29 46.003333333),1314
Proulieu,Point(5.32166 45.86443),1315
Ramasse,Point(5.355277777 46.195),1317
Rancé,Point(4.868888888 45.965555555),1318
Relevant,Point(4.949444444 46.090277777),1319
Replonges,Point(4.886111111 46.310277777),1320
Revonnas,Point(5.330277777 46.162222222),1321
Reyrieux,Point(4.823333333 45.934444444),1322
Reyssouze,Point(4.919166666 46.431944444),1323
Rignat,Point(5.3576 46.1412),1324
Rignieux-le-Franc,Point(5.189444444 45.94),1325
Romanèche,Point(5.44124 46.18656),1327
Romans,Point(5.0211 46.1217),1328
Rossillon,Point(5.593611111 45.831944444),1329
Ruffieu,Point(5.663333333 45.994166666),1330
Saint-Alban,Point(5.453333333 46.095555555),1331
Saint-André-de-Bâgé,Point(4.917222222 46.294722222),1332
Saint-André-de-Corcy,Point(4.952222222 45.926388888),1333
Saint-André-d'Huiriat,Point(4.912222222 46.213333333),1334
Saint-André-le-Bouchoux,Point(5.078611111 46.117222222),1335
Saint-André-sur-Vieux-Jonc,Point(5.146388888 46.157222222),1336
Saint-Bénigne,Point(4.960555555 46.444722222),1337
Groslée-Saint-Benoit,Point(5.5872 45.695),1338
Saint-Bernard,Point(4.737222222 45.945),1339
Sainte-Croix,Point(5.051944444 45.894166666),1342
Saint-Cyr-sur-Menthon,Point(4.973055555 46.275555555),1343
Saint-Denis-lès-Bourg,Point(5.192222222 46.199722222),1344
Saint-Denis-en-Bugey,Point(5.329166666 45.951944444),1345
Saint-Didier-d'Aussiat,Point(5.060833333 46.306388888),1346
Saint-Didier-de-Formans,Point(4.780277777 45.956388888),1347
Saint-Didier-sur-Chalaronne,Point(4.817777777 46.1775),1348
Saint-Éloi,Point(5.152222222 45.933055555),1349
Saint-Étienne-du-Bois,Point(5.293333333 46.288055555),1350
Saint-Étienne-sur-Chalaronne,Point(4.866944444 46.146944444),1351
Saint-Étienne-sur-Reyssouze,Point(5.000833333 46.413055555),1352
Sainte-Euphémie,Point(4.798055555 45.972777777),1353
Saint-Genis-Pouilly,Point(6.021388888 46.243333333),1354
Saint-Genis-sur-Menthon,Point(5.008888888 46.282222222),1355
Saint-Georges-sur-Renon,Point(5.031944444 46.105555555),1356
Saint-Germain-de-Joux,Point(5.738333333 46.177777777),1357
Saint-Germain-les-Paroisses,Point(5.618055555 45.773611111),1358
Saint-Germain-sur-Renon,Point(5.0575 46.080555555),1359
Saint-Jean-de-Gonville,Point(5.951944444 46.212777777),1360
Saint-Jean-de-Niost,Point(5.218611111 45.84),1361
Saint-Jean-de-Thurigneux,Point(4.882222222 45.952222222),1362
Saint-Jean-le-Vieux,Point(5.389166666 46.028333333),1363
Saint-Jean-sur-Reyssouze,Point(5.062777777 46.396111111),1364
Saint-Jean-sur-Veyle,Point(4.915555555 46.258055555),1365
Sainte-Julie,Point(5.278333333 45.89),1366
Saint-Julien-sur-Reyssouze,Point(5.111388888 46.401666666),1367
Saint-Julien-sur-Veyle,Point(4.954166666 46.202222222),1368
Saint-Just,Point(5.28 46.190277777),1369
Saint-Laurent-sur-Saône,Point(4.839444444 46.305277777),1370
Saint-Marcel,Point(4.987222222 45.948611111),1371
Saint-Martin-de-Bavel,Point(5.6775 45.849166666),1372
Saint-Martin-du-Frêne,Point(5.5525 46.138888888),1373
Saint-Martin-du-Mont,Point(5.328333333 46.101666666),1374
Saint-Martin-le-Châtel,Point(5.115833333 46.281944444),1375
Saint-Maurice-de-Beynost,Point(4.975277777 45.830277777),1376
Saint-Maurice-d'Échazeaux,Point(5.49075 46.25839),1377
Saint-Maurice-de-Gourdans,Point(5.195555555 45.821388888),1378
Saint-Maurice-de-Rémens,Point(5.275555555 45.958611111),1379
Saint-Nizier-le-Bouchoux,Point(5.150833333 46.459722222),1380
Saint-Nizier-le-Désert,Point(5.148333333 46.055833333),1381
Sainte-Olive,Point(4.933611111 46.018611111),1382
Saint-Paul-de-Varax,Point(5.128333333 46.098888888),1383
Saint-Rambert-en-Bugey,Point(5.438055555 45.948611111),1384
Saint-Rémy,Point(5.168333333 46.189166666),1385
Saint-Sorlin-en-Bugey,Point(5.370555555 45.885),1386
Saint-Sulpice,Point(5.041666666 46.320277777),1387
Saint-Trivier-de-Courtes,Point(5.081388888 46.459722222),1388
Saint-Trivier-sur-Moignans,Point(4.898333333 46.073333333),1389
Saint-Vulbas,Point(5.290833333 45.833888888),1390
Salavre,Point(5.346111111 46.363888888),1391
Samognat,Point(5.576111111 46.257777777),1392
Sandrans,Point(4.980833333 46.063888888),1393
Sathonay-Camp,Point(4.874444444 45.824722222),1394
Sathonay-Village,Point(4.878333333 45.833333333),1395
Sault-Brénaz,Point(5.41 45.855277777),1396
Sauverny,Point(6.114722222 46.315277777),1397
Savigneux,Point(4.847777777 46.001111111),1398
Ségny,Point(6.073333333 46.296944444),1399
Seillonnaz,Point(5.490277777 45.806666666),1400
Sergy,Point(6.0 46.253055555),1401
Sermoyer,Point(4.980833333 46.499722222),1402
Serrières-de-Briord,Point(5.454444444 45.808055555),1403
Serrières-sur-Ain,Point(5.451111111 46.152777777),1404
Servas,Point(5.165555555 46.132777777),1405
Servignat,Point(5.069444444 46.433611111),1406
Seyssel,Point(5.831111111 45.958888888),1407
Simandre-sur-Suran,Point(5.416944444 46.225277777),1408
Sonthonnax-la-Montagne,Point(5.524166666 46.233055555),1410
Souclin,Point(5.418333333 45.876111111),1411
Sulignat,Point(4.963055555 46.177222222),1412
Talissieu,Point(5.725 45.865833333),1415
Tenay,Point(5.508333333 45.92),1416
Thil,Point(5.021666666 45.814166666),1418
Thoiry,Point(5.979722222 46.236388888),1419
Thoissey,Point(4.801944444 46.1725),1420
Torcieu,Point(5.395277777 45.9225),1421
Tossiat,Point(5.315 46.141111111),1422
Toussieux,Point(4.828611111 45.960555555),1423
Tramoyes,Point(4.9681 45.8783),1424
La Tranclière,Point(5.261666666 46.111111111),1425
Treffort-Cuisiat,Point(5.368333333 46.271388888),1426
Val-Revermont,Point(5.37 46.2722),1426
Trévoux,Point(4.775 45.940833333),1427
Valeins,Point(4.871666666 46.1125),1428
Vandeins,Point(5.079166666 46.2175),1429
Varambon,Point(5.316388888 46.040277777),1430
Vaux-en-Bugey,Point(5.353611111 45.928055555),1431
Verjon,Point(5.351111111 46.345833333),1432
Vernoux,Point(5.110277777 46.481111111),1433
Versailleux,Point(5.103888888 45.980277777),1434
Versonnex,Point(6.097222222 46.302222222),1435
Vesancy,Point(6.090833333 46.348611111),1436
Vescours,Point(5.024722222 46.475),1437
Vésenex-Crassy,Point(6.1503 46.3712),1438
Vésines,Point(4.867222222 46.359166666),1439
Veyziat,Point(5.629892 46.272521),1440
Vieu-d'Izenave,Point(5.529166666 46.080833333),1441
Villars-les-Dombes,Point(5.029722222 46.0025),1443
Villebois,Point(5.435 45.847777777),1444
Villemotier,Point(5.321111111 46.346111111),1445
Villeneuve,Point(4.836666666 46.021111111),1446
Villereversure,Point(5.396111111 46.191944444),1447
Villes,Point(5.785 46.088333333),1448
Villette-sur-Ain,Point(5.268611111 45.988333333),1449
Villieu-Loyes-Mollon,Point(5.222222222 45.920555555),1450
Villieu,Point(5.223204 45.921723),1450
Viriat,Point(5.216666666 46.253611111),1451
Virieu-le-Grand,Point(5.651666666 45.849166666),1452
Arvière-en-Valromey,Point(5.7256 45.9083),1453
Virignin,Point(5.713055555 45.717222222),1454
Volognat,Point(5.5141 46.1758),1455
Vongnes,Point(5.724166666 45.814722222),1456
Vonnas,Point(4.990833333 46.219166666),1457
Vouvray,Point(5.7829015 46.1146691),1458
Abbécourt,Point(3.179722222 49.595555555),2001
Achery,Point(3.389722222 49.692222222),2002
Acy,Point(3.413611111 49.345277777),2003
Agnicourt-et-Séchelles,Point(3.953333333 49.716388888),2004
Aguilcourt,Point(3.968055555 49.406111111),2005
Aisonville-et-Bernoville,Point(3.515 49.930833333),2006
Aizelles,Point(3.811388888 49.489722222),2007
Aizy-Jouy,Point(3.516388888 49.434722222),2008
Alaincourt,Point(3.375555555 49.764444444),2009
Allemant,Point(3.453611111 49.461111111),2010
Ambleny,Point(3.184444444 49.380833333),2011
