nom,coordonnees,num_insee,dep
Cize (Ain),Point(5.445555555 46.204166666),1106,1250
Cleyzieu,Point(5.430555555 45.907777777),1107,1230
Coligny (Ain),Point(5.346111111 46.383055555),1108,1270
Collonges (Ain),Point(5.904166666 46.138611111),1109,1550
Colomieu,Point(5.621944444 45.733055555),1110,1300
Conand,Point(5.471111111 45.8925),1111,1230
Condamine (Ain),Point(5.551111111 46.108888888),1112,1430
Condeissiat,Point(5.08 46.158333333),1113,1400
Confort (Ain),Point(5.823055555 46.15),1114,1200
Confrançon,Point(5.065277777 46.267222222),1115,1310
Contrevoz,Point(5.628333333 45.806111111),1116,1300
Conzieu,Point(5.607222222 45.726111111),1117,1300
Corbonod,Point(5.810277777 45.969722222),1118,1420
Corlier,Point(5.499166666 46.030277777),1121,1110
Cormoranche-sur-Saône,Point(4.831388888 46.240833333),1123,1290
Cormoz,Point(5.232222222 46.449166666),1124,1560
Corveissiat,Point(5.481388888 46.243055555),1125,1250
Courmangoux,Point(5.368888888 46.331111111),1127,1370
Courtes,Point(5.100277777 46.459166666),1128,1560
Crans (Ain),Point(5.190555555 45.965),1129,1320
Bresse Vallons,Point(5.1663 46.3091),1130,1340
Cressin-Rochefort,Point(5.763333333 45.785833333),1133,1350
Crottet,Point(4.892222222 46.277222222),1134,1290
Crottet,Point(4.892222222 46.277222222),1134,1750
Crozet,Point(6.0125 46.280555555),1135,1170
Cruzilles-lès-Mépillat,Point(4.880555555 46.224722222),1136,1290
Culoz,Point(5.781666666 45.848611111),1138,1350
Curciat-Dongalon,Point(5.1575 46.475),1139,1560
Curtafond,Point(5.088611111 46.2725),1140,1310
Cuzieu (Ain),Point(5.674444444 45.819166666),1141,1300
Dagneux,Point(5.068055555 45.851666666),1142,1120
Divonne-les-Bains,Point(6.142777777 46.356666666),1143,1220
Dompierre-sur-Veyle,Point(5.204722222 46.071111111),1145,1240
Dompierre-sur-Chalaronne,Point(4.904444444 46.143333333),1146,1400
Domsure,Point(5.295 46.419166666),1147,1270
Dortan,Point(5.659166666 46.318888888),1148,1590
Douvres (Ain),Point(5.373055555 45.988888888),1149,1500
Drom (Ain),Point(5.368611111 46.2175),1150,1250
Druillat,Point(5.317222222 46.06),1151,1160
Échallon,Point(5.741388888 46.21),1152,1130
Échenevex,Point(6.036111111 46.308888888),1153,1170
Évosges,Point(5.498055555 45.960833333),1155,1230
Faramans (Ain),Point(5.125555555 45.901944444),1156,1800
Fareins,Point(4.761666666 46.019444444),1157,1480
Farges (Ain),Point(5.905277777 46.167777777),1158,1550
Feillens,Point(4.891111111 46.335833333),1159,1570
Ferney-Voltaire,Point(6.108055555 46.255833333),1160,1210
Flaxieu,Point(5.735277777 45.808333333),1162,1350
Foissiat,Point(5.174722222 46.370277777),1163,1340
Francheleins,Point(4.808611111 46.073611111),1165,1090
Frans (Ain),Point(4.773888888 45.991388888),1166,1480
Garnerans,Point(4.841111111 46.205833333),1167,1140
Genay (Métropole de Lyon),Point(4.840833333 45.896944444),1168,69730
Genouilleux,Point(4.786944444 46.118888888),1169,1090
Béard-Géovreissiat,Point(5.556944444 46.189722222),1170,1460
Géovreisset,Point(5.617777777 46.256111111),1171,1100
Gex (Ain),Point(6.057777777 46.333333333),1173,1170
Giron (Ain),Point(5.774166666 46.225555555),1174,1130
Gorrevod,Point(4.941111111 46.415833333),1175,1190
Grand-Corent,Point(5.430833333 46.199166666),1177,1250
Grièges,Point(4.850277777 46.254722222),1179,1290
Grilly,Point(6.115 46.330555555),1180,1220
Groissiat,Point(5.6125 46.229166666),1181,1100
Guéreins,Point(4.779722222 46.108055555),1183,1090
Hautecourt-Romanèche,Point(5.4175 46.159722222),1184,1250
Plateau d'Hauteville,Point(5.6053 45.9792),1185,1110
Haut Valromey,Point(5.695 45.9975),1187,1260
Illiat,Point(4.888333333 46.190277777),1188,1140
Injoux-Génissiat,Point(5.8025 46.051388888),1189,1200
Innimond,Point(5.5725 45.782777777),1190,1680
Izenave,Point(5.525 46.038055555),1191,1430
Izernore,Point(5.553888888 46.220555555),1192,1580
Izieu,Point(5.643611111 45.654722222),1193,1300
Jassans-Riottier,Point(4.756666666 45.985555555),1194,1480
Jasseron,Point(5.324444444 46.2125),1195,1250
Jayat,Point(5.120833333 46.370555555),1196,1340
Journans,Point(5.3325 46.144722222),1197,1250
Joyeux (Ain),Point(5.099444444 45.961111111),1198,1800
Jujurieux,Point(5.408888888 46.04),1199,1640
Labalme,Point(5.483055555 46.093055555),1200,1450
Lagnieu,Point(5.349166666 45.903611111),1202,1150
Laiz (Ain),Point(4.888888888 46.248333333),1203,1290
Le Poizat-Lalleyriat,Point(5.6961 46.145),1204,1130
Lantenay (Ain),Point(5.541666666 46.0575),1206,1430
Lapeyrouse (Ain),Point(4.976666666 45.983333333),1207,1330
Lavours,Point(5.7725 45.809166666),1208,1350
Léaz,Point(5.886666666 46.098055555),1209,1200
Lélex,Point(5.942222222 46.303333333),1210,1410
Lent (Ain),Point(5.195833333 46.119444444),1211,1240
Lescheroux,Point(5.146388888 46.406666666),1212,1560
Leyment,Point(5.295 45.923333333),1213,1150
Leyssard,Point(5.475833333 46.155833333),1214,1450
Surjoux-Lhopital,Point(5.7761 45.9683),1215,1420
Lhuis,Point(5.533333333 45.746666666),1216,1680
Lompnas,Point(5.520277777 45.803055555),1219,1680
Loyettes,Point(5.203055555 45.774166666),1224,1360
Lurcy,Point(4.781111111 46.062777777),1225,1090
Magnieu,Point(5.7181 45.7767),1227,1300
Maillat,Point(5.538055555 46.129166666),1228,1430
Malafretaz,Point(5.146666666 46.324166666),1229,1340
Mantenay-Montlin,Point(5.098333333 46.424444444),1230,1560
Manziat,Point(4.907777777 46.359444444),1231,1570
Marboz,Point(5.258333333 46.3425),1232,1851
Marchamp,Point(5.548333333 45.778333333),1233,1680
Marignieu,Point(5.721111111 45.796944444),1234,1300
Marlieux,Point(5.072777777 46.064722222),1235,1240
Marsonnas,Point(5.071111111 46.340833333),1236,1340
Martignat,Point(5.608888888 46.209444444),1237,1100
Massieux,Point(4.830277777 45.908611111),1238,1600
Massignieu-de-Rives,Point(5.767222222 45.754166666),1239,1300
Matafelon-Granges,Point(5.553888888 46.261111111),1240,1580
Meillonnas,Point(5.351944444 46.245),1241,1370
Mérignat,Point(5.436666666 46.069444444),1242,1450
Messimy-sur-Saône,Point(4.764722222 46.048333333),1243,1480
Meximieux,Point(5.194444444 45.904444444),1244,1800
Bohas-Meyriat-Rignat,Point(5.391111111 46.136944444),1245,1250
Mézériat,Point(5.047222222 46.234722222),1246,1660
Mijoux,Point(5.995277777 46.366111111),1247,1410
Mijoux,Point(5.995277777 46.366111111),1247,1170
Mionnay,Point(4.929722222 45.895),1248,1390
Miribel (Ain),Point(4.953055555 45.824444444),1249,1700
Misérieux,Point(4.810833333 45.973333333),1250,1600
Mogneneins,Point(4.811666666 46.138333333),1252,1140
Montagnat,Point(5.284166666 46.170833333),1254,1250
Montagnieu (Ain),Point(5.4675 45.793888888),1255,1470
Montanay,Point(4.863055555 45.879166666),1256,69250
Montanges,Point(5.801388888 46.164166666),1257,1200
Montceaux,Point(4.797222222 46.096388888),1258,1090
Montcet,Point(5.1125 46.2125),1259,1310
Le Montellier,Point(5.073333333 45.930277777),1260,1800
Monthieux,Point(4.940277777 45.957222222),1261,1390
Montluel,Point(5.056388888 45.851666666),1262,1120
Montmerle-sur-Saône,Point(4.758611111 46.081388888),1263,1090
Montracol,Point(5.121944444 46.197222222),1264,1310
Montréal-la-Cluse,Point(5.570833333 46.186666666),1265,1460
Montrevel-en-Bresse,Point(5.128333333 46.336666666),1266,1340
Nurieux-Volognat,Point(5.521944444 46.180277777),1267,1460
Mornay (Ain),Point(5.517 46.1934),1267,1460
Murs-et-Gélignieux,Point(5.661944444 45.641388888),1268,1300
Nantua,Point(5.606111111 46.153333333),1269,1130
Nantua,Point(5.606111111 46.153333333),1269,1460
Neuville-les-Dames,Point(5.003611111 46.162222222),1272,1400
Neuville-sur-Ain,Point(5.372222222 46.0825),1273,1160
Les Neyrolles,Point(5.633611111 46.141666666),1274,1130
Neyron,Point(4.932222222 45.814722222),1275,1700
Niévroz,Point(5.063888888 45.826388888),1276,1120
Nivollet-Montgriffon,Point(5.446388888 45.993055555),1277,1230
Oncieu,Point(5.473333333 45.959166666),1279,1230
Ordonnaz,Point(5.538333333 45.837222222),1280,1510
Ornex,Point(6.093333333 46.276111111),1281,1210
Outriaz,Point(5.546944444 46.067222222),1282,1430
Oyonnax,Point(5.655 46.255555555),1283,1100
Ozan,Point(4.915555555 46.391666666),1284,1190
Parcieux,Point(4.825277777 45.915555555),1285,1600
Parves et Nattages,Point(5.7422 45.7439),1286,1300
Péron,Point(5.926388888 46.19),1288,1630
Péronnas,Point(5.202777777 46.178611111),1289,1960
Pérouges,Point(5.179444444 45.903333333),1290,1800
Perrex,Point(4.978055555 46.245555555),1291,1540
Peyriat,Point(5.510277777 46.154166666),1293,1430
Peyrieu,Point(5.6775 45.676666666),1294,1300
Peyzieux-sur-Saône,Point(4.815277777 46.127222222),1295,1140
Pirajoux,Point(5.299166666 46.371388888),1296,1270
Pizay,Point(5.089444444 45.888611111),1297,1120
Plagne (Ain),Point(5.728333333 46.191944444),1298,1130
Le Plantay,Point(5.088888888 46.023055555),1299,1330
Polliat,Point(5.125833333 46.248888888),1301,1310
Pollieu,Point(5.741666666 45.799722222),1302,1350
Poncin,Point(5.406666666 46.085),1303,1450
Pont-d'Ain,Point(5.336388888 46.048333333),1304,1160
Pont-de-Vaux,Point(4.938055555 46.431944444),1305,1190
Pont-de-Veyle,Point(4.887777777 46.263333333),1306,1290
Port (Ain),Point(5.570277777 46.164444444),1307,1460
Pougny (Ain),Point(5.949444444 46.139722222),1308,1550
Pouillat,Point(5.428333333 46.327222222),1309,1250
Prémeyzel,Point(5.648055555 45.683888888),1310,1300
Prémillieu,Point(5.571388888 45.874166666),1311,1110
Prévessin-Moëns,Point(6.081944444 46.255555555),1313,1280
Priay,Point(5.29 46.003333333),1314,1160
Ramasse,Point(5.355277777 46.195),1317,1250
Rancé (Ain),Point(4.868888888 45.965555555),1318,1390
Relevant (Ain),Point(4.949444444 46.090277777),1319,1990
Replonges,Point(4.886111111 46.310277777),1320,1750
Revonnas,Point(5.330277777 46.162222222),1321,1250
Reyrieux,Point(4.823333333 45.934444444),1322,1600
Reyssouze,Point(4.919166666 46.431944444),1323,1190
Rignieux-le-Franc,Point(5.189444444 45.94),1325,1800
Romans (Ain),Point(5.0211 46.1217),1328,1400
Rossillon,Point(5.593611111 45.831944444),1329,1510
Ruffieu,Point(5.663333333 45.994166666),1330,1260
Saint-Alban (Ain),Point(5.453333333 46.095555555),1331,1450
Saint-André-de-Bâgé,Point(4.917222222 46.294722222),1332,1380
Saint-André-de-Corcy,Point(4.952222222 45.926388888),1333,1390
Saint-André-d'Huiriat,Point(4.912222222 46.213333333),1334,1290
Saint-André-le-Bouchoux,Point(5.078611111 46.117222222),1335,1240
Saint-André-sur-Vieux-Jonc,Point(5.146388888 46.157222222),1336,1960
Saint-Bénigne,Point(4.960555555 46.444722222),1337,1190
Groslée-Saint-Benoit,Point(5.5872 45.695),1338,1680
Groslée-Saint-Benoit,Point(5.5872 45.695),1338,1300
